"Bucket label","m/z","Name","Formula","BY0_000001","BY0_000002","BY0_000003","GRE3_000001","GRE3_000002","GRE3_000003","ENO1_000001","ENO1_000002","ENO1_000003","dGLO1_000001","dGLO1_000002","dGLO1_000003","GLO2_000001","GLO2_000002","GLO2_000003"
"298.1602564017 Da",299.16755,,"C16H26O3S",751669.5625,704154.125,716724.3125,0.0,0.0,588025.5625,0.0,702107.0,771372.9375,596913.5625,0.0,608768.4375,2556175.25,4351612.5,4828471.0
"254.2252269768 Da",255.23253,,,0.0,0.0,623077.5,5114629.5,564430.625,0.0,0.0,928546.0,624798.5625,662902.0625,0.0,826776.0,9352603.0,0.0,0.0
"533.2916209053 Da",556.28090,,"C19H53NO9P2S",1526529.5,1027353.375,1495173.75,1028486.75,1090572.75,704500.6875,1303867.875,1217476.375,1687937.25,1851042.875,1788680.25,1938634.0,3741604.0,3828180.5,3650892.5
"556.2761419873 Da",557.28351,,"C27H48N4S4",741545.0,723042.125,678122.875,596547.875,747222.0,0.0,1039405.75,1174824.375,1046510.75,1086243.375,1134402.625,1445082.125,2480988.0,2357713.5,2590281.25
"596.4500350980 Da",635.41312,,"C31H64O10",1674222.625,1364312.625,0.0,781158.3125,1446705.5,1799710.625,714046.625,980000.8125,847882.125,899240.0625,1079327.125,861890.375,929748.25,800130.0625,669152.25
"351.3137234778 Da",352.32101,,"C22H41NO2",1465332.0,2220861.5,2179745.25,0.0,0.0,600936.1875,622855.9375,1424034.625,1432634.5,2130905.5,2196670.75,2482167.25,0.0,0.0,0.0
"270.2195089685 Da",309.18265,"3-Oxohexadecanoic acid","C16H30O3",0.0,832214.375,864304.5,0.0,650598.9375,856655.875,0.0,837016.0625,1068053.375,1109662.75,1001259.5625,1136168.875,0.0,561623.5625,858164.125
"288.0593796607 Da",327.02254,"Orotidine","C10H12N2O8",1117087.625,1290943.375,1343939.375,1051560.125,1097584.0,1007231.5,619664.5625,807349.8125,832040.4375,895410.875,999141.625,1078739.25,929214.5,1052746.375,967361.1875
"398.2433120737 Da",399.25059,,"C18H39O7P",1466883.625,1199826.125,1367854.625,694472.5625,846137.9375,0.0,0.0,0.0,0.0,986838.375,900959.0625,940906.625,691568.4375,730933.125,791234.3125
"493.3142206664 Da",494.32155,"PC_16:1_9Z_0:0_","C24H48NO7P",2039199.625,2045589.5,0.0,1761308.375,1958496.375,1721336.875,0.0,937765.5,0.0,0.0,1406080.125,0.0,1188365.75,1641604.5,1451706.5
"274.2508139987 Da",313.21393,,"C16H34O3",824711.1875,843506.0,734646.5,0.0,872630.9375,741183.4375,0.0,0.0,0.0,862338.3125,886223.1875,776197.4375,0.0,0.0,579466.9375
"568.2683584437 Da",591.25753,,"C26H52N2OS5",857463.6875,1160435.375,1115300.125,0.0,1434512.0,1945961.125,0.0,0.0,1121213.25,1046116.9375,953704.0,1048764.125,0.0,1418697.375,1648846.625
"376.3188714631 Da",399.30809,,"C21H44O5",883965.0,1136516.0,1141481.0,798200.75,1263200.375,1076766.125,0.0,0.0,0.0,844955.4375,741417.5625,780544.3125,614247.25,697581.25,827735.75
"188.1047773826 Da",227.06808,"Azelaic acid","C9H16O4",0.0,0.0,0.0,1856539.625,2098051.5,2044575.375,0.0,0.0,0.0,0.0,0.0,592791.875,0.0,0.0,0.0
"422.3243176689 Da",461.28753,,"C22H46O7",791969.6875,922732.125,846732.5,962500.5,733495.0625,1103781.25,875375.4375,803025.75,784010.125,553234.125,649008.4375,849813.25,575457.5625,662287.75,645805.5625
"280.2402371109 Da",281.24750,"Linoleic acid","C18H32O2",596025.125,912690.8125,909914.0,605159.5625,624247.5,842178.5625,594335.6875,775362.875,1091056.125,1369611.625,1180640.375,1179208.5,653096.5625,724181.625,883373.375
"466.3505283285 Da",505.31369,,"C24H50O8",738134.25,1172221.875,1009460.4375,978006.375,1208946.875,837694.75,901846.0,745356.25,846647.6875,873031.0,832579.5625,1080898.0,649933.0625,699582.75,786297.375
"510.3768150779 Da",549.33997,,"C26H54O9",1194429.0,988673.0625,1036393.0625,1189626.375,928584.875,933467.125,860642.4375,703021.5,859606.0625,744804.125,1309458.0,1162401.25,579575.0625,0.0,695598.625
"464.2420186564 Da",465.24930,,"C19H48N2S5",0.0,0.0,0.0,0.0,0.0,741713.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"378.2981294004 Da",401.28735,,"C20H42O6",729688.5625,942223.3125,790459.3125,947865.4375,1175021.0,1078806.25,724322.8125,618893.5625,705061.25,946954.0,631104.375,638463.3125,705063.4375,714179.9375,628215.875
"226.1932736700 Da",227.20045,"5-Tetradecenoic acid","C14H26O2",666872.625,733849.125,804693.4375,580058.125,795293.5625,783594.875,745224.6875,753422.8125,831746.6875,1175683.625,1125539.375,1197128.875,876419.3125,865038.5625,1077902.375
